[0, '****************', '************************************************', '111110100001011000111110110110111010100100100110', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000010000000']
[2754, '****************', '************************************************', '111110100001011000111110010100011101101110000000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000010000000']
[2755, '****************', '************************************************', '111110100001011000111110110100101011111111011101', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0010000000000000']
[2756, '****************', '************************************************', '111110100001011000111110001000101111111011010001', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000100000000']
[2757, '****************', '************************************************', '111110100001011000111110010101100001010011011010', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000100000000000']
[2758, '****************', '************************************************', '111110100001011000111110111010111100001100010001', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000000000010']
[2759, '****************', '************************************************', '111110100001011000111110101110111101001001001100', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1111110000000000']
[2760, '****************', '************************************************', '111110100001011000111110100110110100111010101001', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000001000011']
[2761, '****************', '************************************************', '111110100001011000111110010100011101011100001001', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0100000000000000']
[2762, '****************', '************************************************', '111110100001011000111110100100010101010010110111', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000001000011']
[2763, '****************', '************************************************', '111110100001011000111110010100011110001010000101', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000000100000']
[2764, '****************', '************************************************', '111110100001011000111110100101001100001110111001', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '1111100000000000']
[2765, '****************', '111110100001011000111110001010010110000110101010', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011101011', '********************************', '******', '00000110', '****************', '0000000001000000']
[2766, '****************', '************************************************', '111110100001011000111110100101001011010111010110', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1111111000000000']
[2767, '****************', '************************************************', '111110100001011000111110010111111110101101011101', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1111111111100000']
[2768, '****************', '************************************************', '000000010000000000000000101001011110001110100011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0001000000000000']
[2769, '****************', '111110100001011000111110111100111101101010111101', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011101011', '********************************', '******', '00010001', '****************', '0000001000000000']
[2770, '****************', '************************************************', '111110100001011000111110011110000100110010010000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000001000000000']
[2771, '****************', '************************************************', '111110100001011000111110111110000100011011011000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000001000000']
[2772, '****************', '************************************************', '111110100001011000111110101011101011010000101111', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000000000001']
[2773, '****************', '************************************************', '111110100001011000111110010000010101111110111000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1111111111110000']
[2774, '****************', '************************************************', '111110100001011000111110011011100100011011000001', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1111100000000000']
[2775, '****************', '111110100001011000111110110001110100100101111000', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011101011', '********************************', '******', '00010001', '****************', '1110001001001001']
[2776, '****************', '111110100001011000111110001110011010101011011000', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011101011', '********************************', '******', '00010001', '****************', '1111111111111110']
[2777, '****************', '************************************************', '111110100001011000111110101100000011101110011010', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '1111111111100000']
[2778, '****************', '************************************************', '111110100001011000111110110010111110010101111000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '1111111111110000']
[2779, '****************', '111110100001011000111110110010010100100101010110', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011101011', '********************************', '******', '00000110', '****************', '1111111111111110']
[2780, '****************', '111110100001011000111110111110110101011010010011', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011101011', '********************************', '******', '00000110', '****************', '1001010111010100']
[2781, '****************', '************************************************', '111110100001011000111110101100011110000010010001', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000010000000']
[2782, '****************', '************************************************', '111110100001011000111110011001111001100101000111', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000000000010']
[2783, '****************', '111110100001011000111110001010001111100010111011', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011101001', '********************************', '******', '00000110', '****************', '0000000000000010']
[2784, '****************', '111110100001011000111110110010100110111001100001', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011101001', '********************************', '******', '00000110', '****************', '0000000000001000']
[2785, '****************', '************************************************', '111110100001011000111110011010101111011001011000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '1111111000000000']
[2786, '****************', '************************************************', '111110100001011000111110000010011010100000010000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1000000000000000']
[2787, '****************', '************************************************', '111110100001011000111110100101001010110011000000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000000000100']
[2788, '****************', '************************************************', '111110100001011000111110001001001101000110110101', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000000100000']
[2789, '****************', '************************************************', '111110100001011000111110100101101000001111111100', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0001000000000000']
[2790, '****************', '111110100001011000111110100010111110110110001010', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011101001', '********************************', '******', '00000110', '****************', '0000000000100000']
[2791, '****************', '************************************************', '111110100001011000111110000111001000001101110011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000000010000']
[2792, '****************', '************************************************', '111110100001011000111110110101010100100110110011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '1111111111111110']
[2793, '****************', '************************************************', '111110100001011000111110101111100000111110010101', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000001000000']
[2794, '****************', '************************************************', '111110100001011000111110101111001011100111111110', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0010000000000000']
[2795, '****************', '************************************************', '111110100001011000111110110100000000000100010101', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000010000000']
[2796, '****************', '111110100001011000111110100111100100000111110101', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011101001', '********************************', '******', '00010001', '****************', '0000000001000100']
[2797, '****************', '************************************************', '111110100001011000111110111010010101100001110111', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000010000000000']
[2798, '****************', '************************************************', '111110100001011000111110100100011101011100100101', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000100000000000']
[2799, '****************', '************************************************', '111110100001011000111110101001101111011100000011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000000000100']
[2800, '****************', '************************************************', '111110100001011000111110010110000000001000100111', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000000000001']
[2801, '****************', '************************************************', '111110100001011000111110101110100101011100000100', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000001000011']
[2802, '****************', '************************************************', '111110100001011000111110101111000100110001101010', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000000001000']
[2803, '****************', '************************************************', '111110100001011000111110000111001110011000110011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1111111111100000']
[2804, '****************', '111110100001011000111110101111000011010000101100', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011101001', '********************************', '******', '00000110', '****************', '0000000001000000']
[2805, '****************', '111110100001011000111110110100011011110001100111', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011101001', '********************************', '******', '00010001', '****************', '0000001000000000']
[2806, '****************', '************************************************', '111110100001011000111110001101000011111110000101', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000001000000000']
[2807, '****************', '************************************************', '111110100001011000111110110010100011011000011001', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000000010110']
[2808, '****************', '************************************************', '111110100001011000111110011101111110100010000000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000010000000000']
[2809, '****************', '************************************************', '111110100001011000111110010001011101000010111101', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0100000000000000']
[2810, '****************', '************************************************', '111110100001011000111110000100110110011100011010', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1111111100000000']
[2811, '****************', '111110100001011000111110101100010011011100010000', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011101001', '********************************', '******', '00000110', '****************', '0000000100000000']
[2812, '****************', '************************************************', '111110100001011000111110101101111011100101110111', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000000000001']
[2813, '****************', '************************************************', '111110100001011000111110010000010101100100111100', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0010000000000000']
[2814, '****************', '************************************************', '111110100001011000111110110001110110001001101011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1111111000000000']
[2815, '****************', '************************************************', '111110100001011000111110010100011001111010110011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0100000000000000']
[2816, '****************', '************************************************', '111110100001011000111110001010010100101010101101', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000100000000000']
[2817, '****************', '************************************************', '111110100001011000111110010110001100010101010111', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '1100000000000000']
[2818, '****************', '111110100001011000111110101100110110101001111001', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011101001', '********************************', '******', '00010001', '****************', '1000000000000000']
[2819, '****************', '************************************************', '111110100001011000111110101110111001000101011001', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1111111111111110']
[2820, '****************', '************************************************', '111110100001011000111110100000011100011111011010', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000110100111101']
[2821, '****************', '************************************************', '111110100001011000111110100011001001100111011010', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1111100000000000']
[2822, '****************', '111110100001011000111110101011110010010011011001', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011101001', '********************************', '******', '00000110', '****************', '0000000000010000']
[2823, '****************', '************************************************', '111110100001011000111110000000000100001011001111', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000001000011']
[2824, '****************', '************************************************', '111110100001011000111110100001100011110110000000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000100000000']
[2825, '****************', '************************************************', '111110100001011000111110101011100000101001001010', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1110000000000000']
[2826, '****************', '************************************************', '111110100001011000111110010000101110011011000001', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0001000000000000']
[2827, '****************', '************************************************', '111110100001011000111110101000100111101010101111', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000110111011']
[2828, '****************', '************************************************', '111110100001011000111110110000100100100111101000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000001000100']
[2829, '****************', '************************************************', '111110100001011000111110101110010010110100001101', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1111111110000000']
[2830, '****************', '************************************************', '111110100001011000111110001110001100001101101100', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1111110000000000']
[2831, '****************', '************************************************', '111110100001011000111110110111101101100011010110', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000001000011']
[2832, '****************', '************************************************', '111110100001011000111110001010010110010110000011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000000100000']
[2833, '****************', '111110100001011000111110111001001110010010011011', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011100101', '********************************', '******', '00010001', '****************', '0000010000000000']
[2834, '****************', '************************************************', '111110100001011000111110111011100001000011100001', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000000000010']
[2835, '****************', '************************************************', '111110100001011000111110000111110010110001110011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000100000000000']
[2836, '****************', '************************************************', '111110100001011000111110101101001001100101111000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000000000001']
[2837, '****************', '************************************************', '111110100001011000111110110100001011010011001000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000000010000']
[2838, '****************', '111110100001011000111110100011111011111000000100', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011100101', '********************************', '******', '00000110', '****************', '1000000000000000']
[2839, '****************', '************************************************', '111110100001011000111110011011000101000100100110', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0001000000000000']
[2840, '****************', '************************************************', '111110100001011000111110000101010111111011000011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000001000000000']
[2841, '****************', '111110100001011000111110111011111100011010110100', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011100101', '********************************', '******', '00010001', '****************', '0000000100000000']
[2842, '****************', '************************************************', '111110100001011000111110010011010101100101010100', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000001000000']
[2843, '****************', '111110100001011000111110011101110010111000000000', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011100101', '********************************', '******', '00010001', '****************', '1000000000000000']
[2844, '****************', '************************************************', '111110100001011000111110011100001000111010011000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0010000000000000']
[2845, '****************', '************************************************', '111110100001011000111110011000011010111110101011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000100000000000']
[2846, '****************', '************************************************', '111110100001011000111110101111111111010011000100', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000000010110']
[2847, '****************', '************************************************', '111110100001011000111110011101110011110111000001', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0100000000000000']
[2848, '****************', '************************************************', '111110100001011000111110011101000011001101100011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000010000000000']
[2849, '****************', '************************************************', '111110100001011000111110000000101010010001100110', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000001000100']
[2850, '****************', '************************************************', '111110100001011000111110001000000010001101000110', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000100000000']
[2851, '****************', '************************************************', '111110100001011000111110000010001111101010100100', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000000100000']
[2852, '****************', '************************************************', '111110100001011000111110111011101010000100101000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1111110000000000']
[2853, '****************', '************************************************', '111110100001011000111110101000010110010011101110', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '1100000000000000']
[2854, '****************', '************************************************', '111110100001011000111110010111111100110001101011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000000001000']
[2855, '****************', '************************************************', '111110100001011000111110001001010000011011011111', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000010000000']
[2856, '****************', '************************************************', '111110100001011000111110011000111110011000010000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000000000001']
[2857, '****************', '************************************************', '111110100001011000111110110000100001100011001000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000001000000']
[2858, '****************', '111110100001011000111110010110100101000000010001', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011100101', '********************************', '******', '00000110', '****************', '1111111111111110']
[2859, '****************', '************************************************', '111110100001011000111110111011010110110011010101', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0100000000000000']
[2860, '****************', '************************************************', '111110100001011000111110111110010000111110111000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000000010000']
[2861, '****************', '************************************************', '111110100001011000111110111000001001000110010110', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000001000000000']
[2862, '****************', '************************************************', '111110100001011000111110000011101000001001111101', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0010000000000000']
[2863, '****************', '************************************************', '111110100001011000111110111111000101111000011011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000000010110']
[2864, '****************', '************************************************', '111110100001011000111110110101100010001010101100', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000010000000']
[2865, '****************', '************************************************', '111110100001011000111110000001101100101101101000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000001000100']
[2866, '****************', '************************************************', '111110100001011000111110000100000010100001111001', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '1111111111111110']
[2867, '****************', '************************************************', '111110100001011000111110110010100110100110010000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000110100111101']
[2868, '****************', '111110100001011000111110111110001101101001010101', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011100101', '********************************', '******', '00010001', '****************', '0000000000000010']
[2869, '****************', '************************************************', '111110100001011000111110111100100111101110101110', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000001000011']
[2870, '****************', '************************************************', '111110100001011000111110110010010110000100110111', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '1111110000000000']
[2871, '****************', '************************************************', '111110100001011000111110001111010111000111110001', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000000000100']
[2872, '****************', '************************************************', '111110100001011000111110000010010000110000010000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0001000000000000']
[2873, '****************', '************************************************', '111110100001011000111110001000111100100111100100', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1111000000000000']
[2874, '****************', '************************************************', '111110100001011000111110111010000111001010000011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000000000100']
[2875, '****************', '************************************************', '111110100001011000111110011110110001101001001010', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000000000001000']
[2876, '****************', '************************************************', '111110100001011000111110100111101110100101101110', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1111111111000000']
[2877, '****************', '************************************************', '111110100001011000111110110010111010000001010110', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '1110001001001001']
[2878, '****************', '111110100001011000111110011011100010011100000001', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011100101', '********************************', '******', '00010001', '****************', '1110000000000000']
[2879, '****************', '************************************************', '111110100001011000111110100101010001111100011101', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1111100000000000']
[2880, '****************', '************************************************', '111110100001011000111110101111111100000001011110', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '1111111100000000']
[2881, '****************', '111110100001011000111110111101000010100011011011', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111011100101', '********************************', '******', '00010001', '****************', '1111111111111100']
[2882, '****************', '************************************************', '111110100001011000111110001110001000100011001001', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1001010111011101']
[2883, '****************', '************************************************', '111110100001011000111110011011001011001100011010', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '1111111000000000']
[2884, '****************', '************************************************', '111110100001011000111110101011000111010010011011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000000000001']
[2885, '****************', '************************************************', '111110100001011000111110010111000011001001101011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0000010000000000']
[2886, '****************', '111110100001011000111110100000001010011111010001', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111000100111', '********************************', '******', '00000110', '****************', '0000000000000010']
[2887, '****************', '************************************************', '111110100001011000111110001100110001101011111000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000010000000']
[2888, '****************', '************************************************', '111110100001011000111110011001010010000010110010', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '0010000000000000']
[2889, '****************', '111110100001011000111110001100111101011100100001', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111000100111', '********************************', '******', '00000110', '****************', '0100000000000000']
[2890, '****************', '************************************************', '111110100001011000111110001111000101100100110100', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00010001', '****************', '1111111111100000']
[2891, '****************', '111110100001011000111110000010101011001111100000', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111000100111', '********************************', '******', '00010001', '****************', '0000000000010000']
[2892, '****************', '************************************************', '111110100001011000111110001000101111110001010111', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000001000000000']
[2893, '****************', '************************************************', '111110100001011000111110100011110011000010011011', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '1111111111000000']
[2894, '****************', '111110100001011000111110100111010000001101101100', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111000100111', '********************************', '******', '00010001', '****************', '0000000000000010']
[2895, '****************', '************************************************', '111110100001011000111110000001011111001001100100', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000100000000000']
[2896, '****************', '************************************************', '111110100001011000111110100001101111010010000101', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000000001000100']
[2897, '****************', '111110100001011000111110111111000010010111101011', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111000100111', '********************************', '******', '00000110', '****************', '0001000000000000']
[2898, '****************', '111110100001011000111110101000010011011101110000', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111000100111', '********************************', '******', '00010001', '****************', '0100000000000000']
[2899, '****************', '************************************************', '111110100001011000111110001111110111100111111000', '0000100000000000', '************', '***', '********************************', '01101011000110101010001100101110', '******', '00000110', '****************', '0000010000000000']
[2900, '****************', '111110100001011000111110100001000011000011101011', '************************************************', '0000100000000000', '************', '***', '10000000010011000001111000100111', '********************************', '******', '00010001', '****************', '0000000000001000']
